mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,audio_type
-205.82031,140.94406,-15.975095,48.94206,-20.714148,2.7522748,-3.489508,-3.2938747,-12.890371,-14.042094,-3.5077226,-0.7465984,-3.7704208,1.8683691,0.90365493,-6.6317716,6.1218066,-5.659017,1.0564907,-1.9791504,fake
-234.48065,173.68976,-22.506886,45.84638,1.7331175,-24.5896,11.981604,-15.063051,-18.50525,-13.724009,-23.412298,-5.521636,-7.411292,-16.168638,3.8315008,-0.9972158,-14.45734,3.3577464,-3.468732,-16.163435,fake
-225.52496,184.51027,-42.075134,30.740534,-0.6197771,-29.96663,8.784508,-19.433764,-22.696747,0.38890347,-12.480544,-10.8018,-5.5023475,-10.742292,-1.325506,-5.628582,-13.938709,0.57954305,-6.5655313,-18.566362,fake
-144.22853,120.693695,-32.523193,48.905277,-38.5864,26.455847,-26.81369,7.344168,-7.3399973,-5.7860227,-9.795762,-10.249239,1.0352881,-11.325378,2.3967261,-12.772396,6.6410155,-11.926023,-4.3687854,-6.959849,fake
-205.25754,156.28244,-17.080782,53.471664,-12.443253,30.765713,-11.164275,6.6829467,-6.1726804,0.49030265,-4.407661,-11.15067,7.528042,-20.973356,11.325914,-5.194565,-4.4826536,-4.387448,-0.026793353,4.4597945,fake
-200.69028,112.25074,-22.809086,74.86617,-5.9022183,30.039963,-11.798327,9.31522,-14.599218,-4.013249,4.4433722,-15.487915,9.653186,-19.751524,6.676245,-0.28791562,-7.071265,-1.8736055,0.39363128,-1.024155,fake
-195.02864,126.117256,-52.429375,50.71064,-25.552633,2.4862063,-18.356659,-6.2336617,-14.872037,-16.306183,-5.332083,-11.706241,-5.1678653,-9.514336,2.37856,-15.048497,-0.39250967,-9.451123,-10.937122,-3.9973042,fake
-171.557,135.14809,-24.191662,55.309475,-25.821302,12.747011,-13.805125,1.0177269,-8.499447,-10.877419,-9.039946,-15.350752,-7.845176,-7.9197035,-1.5649477,-12.958228,5.1436787,-6.1919017,-5.567039,-4.1266794,fake
-258.14697,99.416176,-39.32057,45.812267,-8.730084,8.370339,-13.225829,-13.2708435,-19.21859,-17.19824,-16.54293,-10.724189,-11.915906,-7.8487487,5.8126826,-20.495825,5.801611,-8.68476,-13.995618,-3.0564272,fake
-162.72153,127.851974,-52.77776,48.878582,-34.234543,13.465055,-17.428894,-0.7970872,-29.64216,-13.11207,-2.0423255,-20.674154,-0.6585817,-26.33378,5.807204,-9.616436,-12.821786,-3.8396032,-9.141997,-11.828262,fake
-237.68102,160.95021,-34.652836,36.58155,4.6277785,-26.208075,8.365435,-17.809116,-22.106543,-6.2947626,-18.2829,-9.942271,-5.711707,-11.748301,-0.92200154,-5.9159207,-11.604465,1.393891,-7.4413795,-13.1833725,fake
-366.19418,101.41995,-2.6410897,27.524517,-14.895719,8.572379,-4.26178,9.292091,-5.030823,-1.1624365,2.5700862,-7.9052052,-0.42338887,-8.8900795,5.856395,-4.4737635,-1.6808765,-2.8923671,-2.874293,0.43206427,fake
-277.74054,157.61742,-12.437489,35.165176,-10.401255,-25.482986,10.291542,-13.328571,-11.975553,-2.101406,-13.166945,-7.8224087,-4.3970113,-7.8933616,-2.0318162,-3.4031992,-11.777276,-2.3202822,-3.9707115,-12.988103,fake
-190.04912,140.52556,-37.127197,52.344044,-18.875666,17.501144,-14.739967,-22.83786,-21.105843,-10.202002,-19.252014,-8.482131,0.8625442,-22.54684,6.2379317,-16.612543,-0.9144425,-3.924738,-10.788764,1.2710727,fake
-231.34518,112.602844,-48.62305,48.84494,-16.31235,10.445525,-15.173918,-15.417284,-12.753367,-14.497315,-12.879184,-9.025323,-5.535209,-6.8221316,-0.60704994,-16.635061,4.0075994,-12.700573,-10.6918745,-4.235788,fake
-299.78027,61.765305,-5.1248107,24.921272,-38.423084,-9.434662,-42.196247,-21.658527,-19.117395,-1.0055593,-14.195241,-8.239104,-9.887564,-4.2242255,0.12111291,-21.484583,1.703769,-13.721689,-1.9739627,-12.649462,fake
-356.46658,95.75347,-4.464082,7.8300734,-37.991493,-11.847304,-14.182168,-33.213905,-23.396933,1.081809,-14.773649,-14.256416,-4.7523613,-4.728209,-8.950159,-11.633454,-2.7024705,-13.090328,-2.0457816,-8.223268,fake
-247.14401,110.416794,-50.126373,39.4721,-21.834692,15.397377,-20.418655,-9.103455,-26.895876,-3.9628808,-10.231383,-21.024475,7.1978607,-24.062948,4.6595526,-11.750038,-11.023408,-1.4506162,-9.778595,-10.425599,fake
-163.63817,140.08865,-25.167265,44.09355,-23.234919,9.860295,-21.525839,-3.6474693,-4.9220467,-8.671571,-13.389991,-10.055939,-5.990846,-8.7409725,-0.53742707,-13.411743,0.5135572,-10.474413,-5.6845603,-8.757508,fake
-215.9839,131.72484,-21.246733,60.771893,-16.810799,19.899364,-12.353441,10.627032,-8.3679,-0.4778244,-0.674694,-13.735398,2.4883287,-15.92323,17.343418,-8.92877,-7.011341,-1.9294615,-4.281532,0.9995229,fake
-169.50006,124.01251,-57.299973,53.86725,-26.192669,17.412966,-20.07654,-4.569428,-27.17879,-8.691819,-3.8066049,-26.232874,-0.24069415,-24.344437,2.8040147,-13.24504,-13.907501,-5.0843086,-9.105441,-9.487768,fake
-312.64014,152.80336,-30.307264,24.12828,2.070427,-13.815823,6.4553103,-15.2013235,-9.712374,-3.828964,-11.311063,-5.409038,-5.9970093,-4.0288033,0.9509761,-4.553804,-7.5467887,0.3373548,-4.377672,-10.558459,fake
-276.90546,113.293495,-16.467577,44.67396,1.7781965,13.883232,-5.835617,8.211146,-5.556732,-4.0569158,-3.5838728,-7.6317573,3.491811,-13.944402,6.2886906,-5.4442835,-5.9291086,-1.089074,-2.754787,-0.660961,fake
-244.04858,133.48715,4.9146214,54.173325,-11.223952,-13.867393,3.2093165,-3.1874747,-12.079775,-0.56388015,-10.670608,-8.596159,-0.28894827,-10.0115795,0.4017196,-12.381667,0.047915272,1.0986499,-7.563319,1.3568981,fake
-284.48535,155.70839,-26.102915,50.54827,0.98828125,-30.76897,1.3055712,-16.982239,-9.458227,-6.019793,-15.833472,-7.5498595,-5.776687,-2.7073598,0.27909434,-5.47224,-7.9817443,-2.4648733,-6.4137363,-7.529746,fake
