mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,zcr,centr,bandw,contrast,rolloff,ccens,ccqt,cstft,cvqt,audio_type
-173.07439,147.49763,6.552906,26.24463,-24.938868,14.843979,-8.560113,-11.147836,-6.72256,-27.080805,-8.260516,-12.977553,-13.729177,-2.4175794,-6.5261507,-10.253893,-1.6770989,-5.1104693,-2.703888,-3.8334901,0.05666901344476744,1091.3113414900843,1259.1038651837887,24.667276355127303,1905.9388626453488,0.24616525,0.3248497,0.27152964,0.3856928,fake
-150.05005,154.96642,-5.0481167,24.439577,-11.492272,9.804642,-15.271983,-11.439677,-12.398895,-24.501513,-12.007597,-15.472528,-10.934003,-6.408006,-6.0087204,-8.8323145,-2.5027637,-5.6893535,-3.6771736,-4.717168,0.04592196912650602,865.7508697856845,1092.2576685624679,25.44994849509832,1429.7528002635543,0.22951297,0.2957103,0.21604735,0.311119,fake
-178.35956,144.7729,10.581674,34.26489,-10.815625,26.531101,-22.55458,-9.828321,-7.992257,-21.881586,-3.7964268,-21.530102,-9.332879,-3.2307286,-5.06391,-16.826944,-2.830362,-2.074276,-11.272282,-3.2416325,0.06894867995689655,1185.06773801777,1327.0735862734844,26.08862750531402,2090.3295056573274,0.2242839,0.3108997,0.24553482,0.34975848,fake
-186.71944,120.270164,13.600967,44.236282,-10.620183,23.15127,-18.214056,-3.9400034,-4.778728,-23.241407,-2.7928193,-17.090754,-10.047098,-7.2899375,-4.8745136,-11.8590355,-2.9200745,-1.413302,-9.189281,-1.628943,0.09386923146802326,1488.5795746206275,1463.5678404860885,25.242959906722763,2574.5948968931684,0.23711212,0.30281907,0.28215662,0.42603213,fake
-208.38103,145.77853,10.59013,49.859177,-9.823482,22.794548,-15.064702,-2.7490268,-3.5482476,-21.095337,-8.353079,-21.342752,-13.336919,-12.1884,3.9322855,-15.670141,-14.4274645,1.0187397,-7.49869,-5.312246,0.07394554501488096,1228.4100967094816,1323.4779872609597,25.536927709000796,2195.489501953125,0.23408282,0.3574013,0.29952073,0.38262418,fake
-174.3701,145.36398,-6.083129,20.606768,-10.946073,2.3692834,-7.065249,-7.417107,-11.290746,-19.47147,-14.22085,-13.811615,-12.880762,-9.395783,-5.539917,-10.119456,-7.3810534,-6.444819,0.25777227,-0.17810471,0.035679408482142856,825.157442653773,1068.776894579424,24.61700604060142,1387.09716796875,0.21968426,0.29190302,0.2375475,0.3738843,fake
-168.98128,146.35493,-2.3179953,42.3241,-28.47614,29.853012,-18.517736,-31.423489,-8.527529,-19.437819,-10.705143,-10.291847,-10.93932,-9.050366,4.3931875,-21.317045,-7.7835293,0.40153918,-9.215352,-1.8044287,0.08852724485759493,1438.5642670131472,1325.4256576299429,24.233734485776587,2410.3558890427216,0.27798164,0.5091231,0.35295144,0.4746102,fake
-236.97383,176.75911,10.909829,14.8665905,-9.431604,0.31610003,2.6162775,-20.121248,-9.753658,-12.465429,-10.797924,-9.063325,-17.164736,-0.47937497,1.163723,-14.7217045,-8.71559,1.5729436,-5.407126,-11.469895,0.08101455479452055,1127.6443634723473,953.9825763942242,24.52236810840842,1803.3320178724316,0.26016584,0.4285915,0.3778625,0.48133907,fake
-190.20381,134.68001,-8.3901205,33.995384,-11.896572,12.474313,-2.0492222,-22.598589,-9.642798,-26.923101,-12.71943,-12.270109,-21.747406,1.8425007,-5.3831563,-19.130747,-1.1652452,-6.030686,-8.994521,-4.813742,0.04462046682098766,954.1086936867911,1173.5067096803375,26.90873238162242,1807.0610894097222,0.20810808,0.25165817,0.24277057,0.32139236,fake
-183.50224,120.37131,-0.8286957,37.815468,-38.42084,32.654774,-30.292307,-0.21691808,-2.878569,-30.257935,-3.978291,-19.960657,-4.81641,-10.084443,-4.2306013,-18.278368,-6.9982753,-2.4866447,-10.352233,-5.344885,0.14680800327034885,1952.8081538002639,1594.6013373667383,27.084172999310404,3285.566179142442,0.20742688,0.29802927,0.25970235,0.367677,fake
-185.42966,158.69786,6.1721673,14.514576,-3.9183984,-0.26281673,-11.205599,-13.575794,-12.531928,-20.982565,-15.289153,-15.3127985,-12.969691,-3.205588,-6.296063,-12.352681,-5.2991204,-2.9428687,-4.4837456,-9.788366,0.03375953851744186,688.13048338117,886.6746655920641,25.66715012046177,1036.3479969113373,0.2279297,0.28490993,0.23872411,0.31453723,fake
-197.1328,131.44147,8.616565,54.7714,-14.817262,29.970652,-14.878865,-2.6364007,-8.35487,-26.163673,-2.9226248,-24.047766,-6.0622635,-10.455853,-6.0794053,-11.026051,-13.267476,-1.6802402,-5.582741,-8.068017,0.10143759084302326,1478.765232116828,1376.8401115046324,24.553970503271447,2526.6459620276164,0.21869296,0.31538886,0.32512304,0.43581206,fake
